case_id,product_sku,store,days_to_expiry,quantity,price_before,price_after,discount_pct,price_change_requested,price_change_approved,commercial_action,evidence_complete,financial_value_at_risk,score,forced_high_reasons,expected_risk,ai_risk,ai_explanation
CASE-0093,SKU-6242,Sala 14,12,183,146.25,87.75,40,True,True,NONE,True,26763.75,95,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=95; nivel=ALTO; factores: vencimiento=12d, valor=26763.75, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0094,SKU-4564,Sala 9,53,185,24.06,24.06,0,False,False,APPLIED,False,4451.1,52,,MEDIO,MEDIO,"Score=52; nivel=MEDIO; factores: vencimiento=53d, valor=4451.1, acción=APPLIED, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0095,SKU-2448,Sala 4,33,96,111.47,78.03,30,True,True,APPLIED,True,10701.12,57,,MEDIO,MEDIO,"Score=57; nivel=MEDIO; factores: vencimiento=33d, valor=10701.12, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0096,SKU-8563,Sala 16,54,156,86.56,77.9,10,True,True,APPLIED,True,13503.36,54,,MEDIO,MEDIO,"Score=54; nivel=MEDIO; factores: vencimiento=54d, valor=13503.36, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0097,SKU-7649,Sala 8,20,169,176.08,140.86,20,True,True,PENDING_APPROVAL,True,29757.52,83,,ALTO,ALTO,"Score=83; nivel=ALTO; factores: vencimiento=20d, valor=29757.52, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0098,SKU-4758,Sala 1,106,170,8.47,7.2,15,True,True,NONE,True,1439.9,47,,MEDIO,MEDIO,"Score=47; nivel=MEDIO; factores: vencimiento=106d, valor=1439.9, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0099,SKU-2489,Sala 12,40,95,74.73,59.78,20,True,False,PENDING_APPROVAL,True,7099.35,85,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=85; nivel=ALTO; factores: vencimiento=40d, valor=7099.35, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0100,SKU-5390,Sala 17,58,42,139.16,104.37,25,True,False,APPLIED,True,5844.72,57,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=57; nivel=ALTO; factores: vencimiento=58d, valor=5844.72, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0101,SKU-5879,Sala 5,7,43,112.82,95.9,15,True,True,NONE,True,4851.26,78,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=78; nivel=ALTO; factores: vencimiento=7d, valor=4851.26, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0102,SKU-2787,Sala 10,18,39,17.38,13.04,25,True,True,PENDING_APPROVAL,True,677.82,54,,MEDIO,MEDIO,"Score=54; nivel=MEDIO; factores: vencimiento=18d, valor=677.82, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0103,SKU-3119,Sala 16,40,177,134.83,101.12,25,True,False,PENDING_APPROVAL,True,23864.91,90,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=90; nivel=ALTO; factores: vencimiento=40d, valor=23864.91, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0104,SKU-8779,Sala 11,49,180,89.45,89.45,0,False,False,APPLIED,True,16101.0,49,,MEDIO,MEDIO,"Score=49; nivel=MEDIO; factores: vencimiento=49d, valor=16101.0, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0105,SKU-3254,Sala 6,104,113,162.35,162.35,0,False,False,APPLIED,True,18345.55,30,,MEDIO,MEDIO,"Score=30; nivel=MEDIO; factores: vencimiento=104d, valor=18345.55, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0106,SKU-6313,Sala 18,42,73,140.36,140.36,0,False,False,PENDING_APPROVAL,True,10246.28,62,,ALTO,ALTO,"Score=62; nivel=ALTO; factores: vencimiento=42d, valor=10246.28, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0107,SKU-9167,Sala 17,40,208,54.36,54.36,0,False,False,PENDING_APPROVAL,False,11306.88,82,,ALTO,ALTO,"Score=82; nivel=ALTO; factores: vencimiento=40d, valor=11306.88, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0108,SKU-5790,Sala 8,28,129,142.11,127.9,10,True,False,PENDING_APPROVAL,True,18332.19,91,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=91; nivel=ALTO; factores: vencimiento=28d, valor=18332.19, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0109,SKU-6609,Sala 17,32,216,123.82,123.82,0,False,False,PENDING_APPROVAL,True,26745.12,72,,ALTO,ALTO,"Score=72; nivel=ALTO; factores: vencimiento=32d, valor=26745.12, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0110,SKU-8334,Sala 14,1,165,129.81,77.89,40,True,False,PENDING_APPROVAL,True,21418.65,100,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=100; nivel=ALTO; factores: vencimiento=1d, valor=21418.65, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0111,SKU-3309,Sala 13,101,172,177.23,177.23,0,False,False,NONE,True,30483.56,55,,MEDIO,MEDIO,"Score=55; nivel=MEDIO; factores: vencimiento=101d, valor=30483.56, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0112,SKU-5271,Sala 5,15,3,92.78,92.78,0,False,False,NONE,True,278.34,50,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=50; nivel=ALTO; factores: vencimiento=15d, valor=278.34, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0113,SKU-5428,Sala 16,42,197,139.91,90.94,35,True,True,PENDING_APPROVAL,True,27562.27,77,,ALTO,ALTO,"Score=77; nivel=ALTO; factores: vencimiento=42d, valor=27562.27, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0114,SKU-2961,Sala 7,35,74,80.98,80.98,0,False,False,NONE,True,5992.52,67,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=67; nivel=ALTO; factores: vencimiento=35d, valor=5992.52, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0115,SKU-3894,Sala 8,20,35,127.55,127.55,0,False,False,PENDING_APPROVAL,True,4464.25,61,,ALTO,ALTO,"Score=61; nivel=ALTO; factores: vencimiento=20d, valor=4464.25, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0116,SKU-8869,Sala 11,15,152,157.93,157.93,0,False,False,PENDING_APPROVAL,True,24005.36,85,,ALTO,ALTO,"Score=85; nivel=ALTO; factores: vencimiento=15d, valor=24005.36, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0117,SKU-1221,Sala 13,49,123,112.23,72.95,35,True,True,PENDING_APPROVAL,True,13804.29,64,,ALTO,ALTO,"Score=64; nivel=ALTO; factores: vencimiento=49d, valor=13804.29, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0118,SKU-2484,Sala 16,60,56,11.16,7.81,30,True,True,APPLIED,True,624.96,25,,BAJO,BAJO,"Score=25; nivel=BAJO; factores: vencimiento=60d, valor=624.96, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0119,SKU-7014,Sala 9,49,67,92.44,55.46,40,True,True,PENDING_APPROVAL,True,6193.48,59,,MEDIO,MEDIO,"Score=59; nivel=MEDIO; factores: vencimiento=49d, valor=6193.48, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0120,SKU-2284,Sala 16,42,122,88.75,71.0,20,True,False,PENDING_APPROVAL,False,10827.5,95,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=95; nivel=ALTO; factores: vencimiento=42d, valor=10827.5, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=solicitado, aprobación=no."
CASE-0121,SKU-1354,Sala 1,17,55,15.71,9.43,40,True,True,APPLIED,False,864.05,49,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=49; nivel=ALTO; factores: vencimiento=17d, valor=864.05, acción=APPLIED, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0122,SKU-6149,Sala 18,50,210,106.75,106.75,0,False,False,PENDING_APPROVAL,True,22417.5,64,,ALTO,ALTO,"Score=64; nivel=ALTO; factores: vencimiento=50d, valor=22417.5, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0123,SKU-4724,Sala 18,83,22,25.4,20.32,20,True,True,NONE,True,558.8,33,,MEDIO,MEDIO,"Score=33; nivel=MEDIO; factores: vencimiento=83d, valor=558.8, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0124,SKU-9064,Sala 18,60,205,26.5,25.17,5,True,True,PENDING_APPROVAL,True,5432.5,69,,ALTO,ALTO,"Score=69; nivel=ALTO; factores: vencimiento=60d, valor=5432.5, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0125,SKU-7311,Sala 11,60,177,142.82,85.69,40,True,True,PENDING_APPROVAL,True,25279.14,69,,ALTO,ALTO,"Score=69; nivel=ALTO; factores: vencimiento=60d, valor=25279.14, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0126,SKU-6291,Sala 1,55,176,39.32,35.39,10,True,True,APPLIED,True,6920.32,54,,MEDIO,MEDIO,"Score=54; nivel=MEDIO; factores: vencimiento=55d, valor=6920.32, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0127,SKU-8617,Sala 8,93,22,157.45,102.34,35,True,True,NONE,False,3463.9,48,,MEDIO,MEDIO,"Score=48; nivel=MEDIO; factores: vencimiento=93d, valor=3463.9, acción=NONE, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0128,SKU-4872,Sala 9,8,220,152.84,152.84,0,False,False,APPLIED,True,33624.8,70,,ALTO,ALTO,"Score=70; nivel=ALTO; factores: vencimiento=8d, valor=33624.8, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0129,SKU-2600,Sala 16,54,176,143.13,143.13,0,False,False,NONE,True,25190.88,69,,ALTO,ALTO,"Score=69; nivel=ALTO; factores: vencimiento=54d, valor=25190.88, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0130,SKU-9075,Sala 4,39,104,34.06,23.84,30,True,False,PENDING_APPROVAL,True,3542.24,86,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=86; nivel=ALTO; factores: vencimiento=39d, valor=3542.24, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0131,SKU-5085,Sala 16,17,11,66.21,66.21,0,False,False,NONE,True,728.31,49,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=49; nivel=ALTO; factores: vencimiento=17d, valor=728.31, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0132,SKU-7256,Sala 12,17,187,110.98,105.43,5,True,False,PENDING_APPROVAL,True,20753.26,96,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=96; nivel=ALTO; factores: vencimiento=17d, valor=20753.26, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0133,SKU-3506,Sala 18,25,133,17.39,11.3,35,True,False,NONE,True,2312.87,91,vencimiento <=45 días sin acción comercial; cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=91; nivel=ALTO; factores: vencimiento=25d, valor=2312.87, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0134,SKU-4013,Sala 16,49,50,169.91,110.44,35,True,False,PENDING_APPROVAL,False,8495.5,90,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=90; nivel=ALTO; factores: vencimiento=49d, valor=8495.5, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=solicitado, aprobación=no."
CASE-0135,SKU-4558,Sala 10,35,77,81.76,81.76,0,False,False,NONE,True,6295.52,72,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=72; nivel=ALTO; factores: vencimiento=35d, valor=6295.52, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0136,SKU-6112,Sala 2,33,29,123.86,123.86,0,False,False,PENDING_APPROVAL,True,3591.94,55,,MEDIO,MEDIO,"Score=55; nivel=MEDIO; factores: vencimiento=33d, valor=3591.94, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0137,SKU-1190,Sala 17,16,41,171.59,128.69,25,True,True,NONE,True,7035.19,78,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=78; nivel=ALTO; factores: vencimiento=16d, valor=7035.19, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0138,SKU-8221,Sala 3,39,199,100.86,70.6,30,True,True,PENDING_APPROVAL,True,20071.14,77,,ALTO,ALTO,"Score=77; nivel=ALTO; factores: vencimiento=39d, valor=20071.14, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0139,SKU-6677,Sala 1,2,218,49.85,49.85,0,False,False,NONE,True,10867.3,90,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=90; nivel=ALTO; factores: vencimiento=2d, valor=10867.3, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0140,SKU-2861,Sala 3,19,169,42.99,36.54,15,True,True,APPLIED,True,7265.31,68,,ALTO,ALTO,"Score=68; nivel=ALTO; factores: vencimiento=19d, valor=7265.31, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0141,SKU-3202,Sala 16,118,67,131.25,131.25,0,False,False,NONE,True,8793.75,45,,MEDIO,MEDIO,"Score=45; nivel=MEDIO; factores: vencimiento=118d, valor=8793.75, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0142,SKU-1247,Sala 4,3,15,12.52,7.51,40,True,True,APPLIED,True,187.8,35,,MEDIO,MEDIO,"Score=35; nivel=MEDIO; factores: vencimiento=3d, valor=187.8, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0143,SKU-3831,Sala 3,55,14,96.57,96.57,0,False,False,PENDING_APPROVAL,True,1351.98,36,,MEDIO,MEDIO,"Score=36; nivel=MEDIO; factores: vencimiento=55d, valor=1351.98, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0144,SKU-1167,Sala 1,51,101,93.24,93.24,0,False,False,NONE,True,9417.24,64,,ALTO,ALTO,"Score=64; nivel=ALTO; factores: vencimiento=51d, valor=9417.24, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0145,SKU-3537,Sala 10,44,190,70.53,70.53,0,False,False,PENDING_APPROVAL,True,13400.7,72,,ALTO,ALTO,"Score=72; nivel=ALTO; factores: vencimiento=44d, valor=13400.7, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0146,SKU-2915,Sala 17,16,50,34.95,29.71,15,True,True,APPLIED,True,1747.5,45,,MEDIO,MEDIO,"Score=45; nivel=MEDIO; factores: vencimiento=16d, valor=1747.5, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0147,SKU-8808,Sala 2,40,100,20.4,20.4,0,False,False,APPLIED,True,2040.0,39,,MEDIO,MEDIO,"Score=39; nivel=MEDIO; factores: vencimiento=40d, valor=2040.0, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0148,SKU-1808,Sala 18,96,111,157.34,125.87,20,True,True,PENDING_APPROVAL,True,17464.74,50,,MEDIO,MEDIO,"Score=50; nivel=MEDIO; factores: vencimiento=96d, valor=17464.74, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0149,SKU-1347,Sala 5,59,220,62.6,43.82,30,True,True,APPLIED,True,13772.0,54,,MEDIO,MEDIO,"Score=54; nivel=MEDIO; factores: vencimiento=59d, valor=13772.0, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0150,SKU-5333,Sala 4,107,102,163.97,147.57,10,True,False,PENDING_APPROVAL,True,16724.94,63,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=63; nivel=ALTO; factores: vencimiento=107d, valor=16724.94, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0151,SKU-5473,Sala 18,29,119,51.69,41.35,20,True,True,APPLIED,True,6151.11,63,,ALTO,ALTO,"Score=63; nivel=ALTO; factores: vencimiento=29d, valor=6151.11, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0152,SKU-6288,Sala 17,27,80,49.9,49.9,0,False,False,NONE,False,3992.0,81,vencimiento <=45 días sin acción comercial; vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=81; nivel=ALTO; factores: vencimiento=27d, valor=3992.0, acción=NONE, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0153,SKU-6221,Sala 11,5,70,93.16,88.5,5,True,True,PENDING_APPROVAL,True,6521.2,80,,ALTO,ALTO,"Score=80; nivel=ALTO; factores: vencimiento=5d, valor=6521.2, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0154,SKU-4066,Sala 18,3,158,86.84,56.45,35,True,True,NONE,True,13720.72,95,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=95; nivel=ALTO; factores: vencimiento=3d, valor=13720.72, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0155,SKU-3139,Sala 4,6,159,154.22,154.22,0,False,False,APPLIED,False,24520.98,80,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=80; nivel=ALTO; factores: vencimiento=6d, valor=24520.98, acción=APPLIED, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0156,SKU-4649,Sala 15,31,208,45.47,45.47,0,False,False,APPLIED,True,9457.76,57,,MEDIO,MEDIO,"Score=57; nivel=MEDIO; factores: vencimiento=31d, valor=9457.76, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0157,SKU-9133,Sala 16,26,117,72.23,72.23,0,False,False,NONE,True,8450.91,78,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=78; nivel=ALTO; factores: vencimiento=26d, valor=8450.91, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0158,SKU-9550,Sala 14,16,148,16.38,14.74,10,True,True,PENDING_APPROVAL,True,2424.24,65,,ALTO,ALTO,"Score=65; nivel=ALTO; factores: vencimiento=16d, valor=2424.24, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0159,SKU-4840,Sala 5,34,125,123.01,86.11,30,True,True,NONE,False,15376.25,87,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=87; nivel=ALTO; factores: vencimiento=34d, valor=15376.25, acción=NONE, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0160,SKU-9991,Sala 7,41,76,36.6,34.77,5,True,False,APPLIED,False,2781.6,73,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=73; nivel=ALTO; factores: vencimiento=41d, valor=2781.6, acción=APPLIED, evidencia=incompleta, cambio_precio=solicitado, aprobación=no."
CASE-0161,SKU-2032,Sala 6,24,34,14.06,14.06,0,False,False,APPLIED,True,478.04,28,,BAJO,BAJO,"Score=28; nivel=BAJO; factores: vencimiento=24d, valor=478.04, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0162,SKU-1690,Sala 5,54,38,120.72,120.72,0,False,False,APPLIED,True,4587.36,32,,MEDIO,MEDIO,"Score=32; nivel=MEDIO; factores: vencimiento=54d, valor=4587.36, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0163,SKU-2136,Sala 2,54,40,61.43,39.93,35,True,False,PENDING_APPROVAL,True,2457.2,67,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=67; nivel=ALTO; factores: vencimiento=54d, valor=2457.2, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0164,SKU-3320,Sala 18,30,48,106.87,85.5,20,True,False,APPLIED,True,5129.76,71,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=71; nivel=ALTO; factores: vencimiento=30d, valor=5129.76, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0165,SKU-4598,Sala 6,54,192,171.79,128.84,25,True,True,NONE,True,32983.68,74,,ALTO,ALTO,"Score=74; nivel=ALTO; factores: vencimiento=54d, valor=32983.68, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0166,SKU-1904,Sala 17,38,119,122.76,110.48,10,True,True,NONE,True,14608.44,77,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=77; nivel=ALTO; factores: vencimiento=38d, valor=14608.44, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0167,SKU-8404,Sala 7,15,205,124.03,86.82,30,True,True,APPLIED,False,25426.15,85,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=85; nivel=ALTO; factores: vencimiento=15d, valor=25426.15, acción=APPLIED, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0168,SKU-8412,Sala 6,20,184,133.66,133.66,0,False,False,NONE,True,24593.44,83,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=83; nivel=ALTO; factores: vencimiento=20d, valor=24593.44, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0169,SKU-9976,Sala 1,29,150,8.78,6.15,30,True,True,APPLIED,True,1317.0,55,,MEDIO,MEDIO,"Score=55; nivel=MEDIO; factores: vencimiento=29d, valor=1317.0, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0170,SKU-5866,Sala 7,37,87,106.68,64.01,40,True,False,APPLIED,True,9281.16,78,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=78; nivel=ALTO; factores: vencimiento=37d, valor=9281.16, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0171,SKU-1117,Sala 17,7,73,45.83,41.25,10,True,True,APPLIED,True,3345.59,58,,MEDIO,MEDIO,"Score=58; nivel=MEDIO; factores: vencimiento=7d, valor=3345.59, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0172,SKU-4289,Sala 14,56,36,28.06,16.84,40,True,False,APPLIED,True,1010.16,52,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=52; nivel=ALTO; factores: vencimiento=56d, valor=1010.16, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0173,SKU-9249,Sala 8,36,40,58.64,58.64,0,False,False,NONE,True,2345.6,54,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=54; nivel=ALTO; factores: vencimiento=36d, valor=2345.6, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0174,SKU-1107,Sala 18,24,45,54.46,49.01,10,True,True,APPLIED,True,2450.7,45,,MEDIO,MEDIO,"Score=45; nivel=MEDIO; factores: vencimiento=24d, valor=2450.7, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0175,SKU-3335,Sala 14,37,129,95.11,90.35,5,True,True,NONE,True,12269.19,77,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=77; nivel=ALTO; factores: vencimiento=37d, valor=12269.19, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0176,SKU-1391,Sala 14,1,50,43.38,36.87,15,True,True,PENDING_APPROVAL,True,2169.0,67,,ALTO,ALTO,"Score=67; nivel=ALTO; factores: vencimiento=1d, valor=2169.0, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0177,SKU-3177,Sala 1,113,111,147.91,110.93,25,True,True,PENDING_APPROVAL,False,16418.01,60,,ALTO,ALTO,"Score=60; nivel=ALTO; factores: vencimiento=113d, valor=16418.01, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0178,SKU-1531,Sala 8,45,51,86.83,86.83,0,False,False,PENDING_APPROVAL,True,4428.33,55,,MEDIO,MEDIO,"Score=55; nivel=MEDIO; factores: vencimiento=45d, valor=4428.33, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0179,SKU-2273,Sala 18,20,173,146.17,138.86,5,True,True,APPLIED,True,25287.41,68,,ALTO,ALTO,"Score=68; nivel=ALTO; factores: vencimiento=20d, valor=25287.41, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0180,SKU-3868,Sala 14,47,173,130.49,130.49,0,False,False,PENDING_APPROVAL,True,22574.77,64,,ALTO,ALTO,"Score=64; nivel=ALTO; factores: vencimiento=47d, valor=22574.77, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0181,SKU-4034,Sala 8,47,203,87.04,87.04,0,False,False,NONE,True,17669.12,69,,ALTO,ALTO,"Score=69; nivel=ALTO; factores: vencimiento=47d, valor=17669.12, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0182,SKU-6594,Sala 3,60,107,145.53,145.53,0,False,False,APPLIED,True,15571.71,44,,MEDIO,MEDIO,"Score=44; nivel=MEDIO; factores: vencimiento=60d, valor=15571.71, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0183,SKU-5590,Sala 11,69,134,17.65,15.0,15,True,True,APPLIED,True,2365.1,29,,BAJO,MEDIO,"Score=29; nivel=MEDIO; factores: vencimiento=69d, valor=2365.1, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0184,SKU-5403,Sala 10,3,131,17.56,14.05,20,True,True,PENDING_APPROVAL,True,2300.36,72,,ALTO,ALTO,"Score=72; nivel=ALTO; factores: vencimiento=3d, valor=2300.36, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0185,SKU-1792,Sala 8,25,187,138.49,131.57,5,True,True,NONE,True,25897.63,88,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=88; nivel=ALTO; factores: vencimiento=25d, valor=25897.63, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
